establecimiento_id,establecimiento_nombre,localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,codent,origen_financiamiento,tipologia_id,tipologia_sigla,tipologia_nombre,cp,domicilio,sitio_web,longitud,latitud,coordinate_status
50020012317045,AMERICAN DENTAL,2002010001,RECOLETA,2,CABA,2,COMUNA 2,10,1,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,1123,Av. Santa Fe 2130 1º Piso E,www.americandental.com.ar,-58.3976147176144,-34.5954977365276,valid_argentina_bounds
50820632186012,CENTRO DE SALUD PRESIDENTE RAUL RICARDO ALFONSIN,82063180000,SANTO TOME,82,SANTA FE,63,LA CAPITAL,180,0,Provincial,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,3016,ROVERANO 2600,NA,-60.7656898503773,-31.6636387906633,valid_argentina_bounds
15060282306531,SAN GENNARO HOGAR PARA MAYORES,6028010001,ADROGUE,6,BUENOS AIRES,28,ALMIRANTE BROWN,10,1,Privado,17,ESCIRES,Vivienda para personas mayores,1846,Jorge Santiago Bynnon 1721,NA,-58.3855773,-34.7958458,valid_argentina_bounds
15060282306533,RESIDENCIA GERIATRICA EREZCANO,6028010001,ADROGUE,6,BUENOS AIRES,28,ALMIRANTE BROWN,10,1,Privado,17,ESCIRES,Vivienda para personas mayores,1846,Erezcano 452,NA,-58.3842602999999,-34.7913242,valid_argentina_bounds
14067562306573,CENTRO DE OJOS SAN ISIDRO,6756010005,SAN ISIDRO,6,BUENOS AIRES,756,SAN ISIDRO,10,5,Privado,14,ESCIE,Bajo riesgo con internación simple,1642,ITUZAINGO 157,NA,-58.5136539,-34.4704709,valid_argentina_bounds
51540282364954,LABORATORIO DE ANALISIS CLINICOS FRETES RAQUEL MARIA,54028030,POSADAS (MUNICIPIO DE POSADAS),54,MISIONES,28,CAPITAL,30,NA,Privado,51,ESSID,Laboratorio de Análisis Clínicos,3300,Bolivar 2377 Edificio Gema,NA,-55.8995103836059,-27.3664316837197,valid_argentina_bounds
51540282364956,LABORATORIO DE ANALISIS CLINICOS GOTTI ADRIANA SILVIA,54028030,POSADAS (MUNICIPIO DE POSADAS),54,MISIONES,28,CAPITAL,30,NA,Privado,51,ESSID,Laboratorio de Análisis Clínicos,3300,Belgrano 1990,NA,-55.8950684999999,-27.3630169,valid_argentina_bounds
51540282364958,LABORATORIO DE ANALISIS CLINICOS GUASTAVINO MARCELA ALEJANDRA,54028030,POSADAS (MUNICIPIO DE POSADAS),54,MISIONES,28,CAPITAL,30,NA,Privado,51,ESSID,Laboratorio de Análisis Clínicos,3300,Belgrano1990,NA,-55.8953690528869,-27.3630015085274,valid_argentina_bounds
53380212150464,SAME 107 - JUJUY,38021060000,SAN SALVADOR DE JUJUY,38,JUJUY,21,DR. MANUEL BELGRANO,60,0,Provincial,53,ESCL,Sistema de Atención extra hospitalaria,4600,Dorrego esquina Iguzu S/N°,NA,-65.3085646999999,-24.1867888,valid_argentina_bounds
12500982358496,"MOLINA, C. TOCOGINECOLOGIA.-",50098100002,CIUDAD DE SAN MARTIN,50,MENDOZA,98,SAN MARTÍN,100,2,Privado,12,ESCIEM,Bajo riesgo con internación simple,5570,25 DE MAYO 303,NA,-68.474807,-33.086983,valid_argentina_bounds
15140142332577,RESIDENCIA GERIATRICA PRIVADA  MARIA ADELA,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,Privado,17,ESCIRES,Vivienda para personas mayores,5000,De los Alemanes 5894,NA,-64.2444672,-31.3433572999999,valid_argentina_bounds
50020012317318,ODONTOSALUD DRA. BERTONE,2004010001,BARRACAS,2,CABA,4,COMUNA 4,10,1,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,1295,Aristóbulo del Valle 1357 PB A,www.odontosalud.com.ar,-58.3715436459897,-34.6357396749618,valid_argentina_bounds
53221402126672,CENTRO DE TRATAMIENTO DE RESIDUOS ESPECIALES (CETRE),22140060000,RESISTENCIA,22,CHACO,140,SAN FERNANDO,60,0,Provincial,53,ESCL,Residuos Patológicos,3500,Ruta 11 km 1008,NA,-59.0020751953125,-27.4080426712499,valid_argentina_bounds
52064342306625,SERVICIOS DE TERAPIA RENAL ARGENTINA S.A.,6434010003,LANUS OESTE,6,BUENOS AIRES,434,LANÚS,10,3,Privado,52,ESSIT,Centro de Diálisis,1824,Coronel Seguí 770,NA,-58.4011163999999,-34.6971699,valid_argentina_bounds
50501052158540,C.A.P.S. 175 EL CERRITO.-,50105000034,EL CERRITO,50,MENDOZA,105,SAN RAFAEL,0,0,Provincial,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5600,ADOLFO CALLE 3000,www.salud.mendoza.gov.ar,-68.301558,-34.556998,valid_argentina_bounds
50380632150452,APS HOSPITAL LA MENDIETA (SERVICIO ) (9),38063090000,LA MENDIETA,38,JUJUY,63,SAN PEDRO,90,0,Provincial,50,ESSIDT,Con guardia permanente,4522,LA MENDIETA,NA,-64.9703919979999,-24.312330997,valid_argentina_bounds
50020012317220,OHMS MEDICINA LABORAL,2003010002,SAN CRISTOBAL,2,CABA,3,COMUNA 3,10,2,Privado,51,ESSID,Medicina Laboral,C1221ACL,La Rioja 1094,www.ohmssrl.com.ar,-58.4070560933469,-34.6230182818939,valid_argentina_bounds
14064412306545,CLINICA OFTALMOLOGICA MERONI SRL,6441030015,LA PLATA,6,BUENOS AIRES,441,LA PLATA,30,15,Privado,14,ESCIE,Bajo riesgo con internación simple,1900,Calle 63 782,NA,-57.941862,-34.9269251,valid_argentina_bounds
52020012317430,SLIM - SEDE MICROCENTRO,2001010005,SAN NICOLAS,2,CABA,1,COMUNA 1,10,5,Privado,52,ESSIT,Otros,C1005AAN,Florida 656 1º Piso,www.slimcenter.com,-58.3753801,-34.6003986,valid_argentina_bounds
52020012317339,SERVICIO DE TERAPIA RENAL - SUCURSAL FLORES,2007010001,FLORES,2,CABA,7,COMUNA 7,10,1,Privado,52,ESSIT,Centro de Diálisis,C1406DKG,Lautaro 333,NA,-58.4556612967571,-34.6311439549041,valid_argentina_bounds
50020012317415,PSORIAHUE - MEDICINA PARA LA PIEL,2014010001,PALERMO,2,CABA,14,COMUNA 14,10,1,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,C1425DKG,Bulnes 1937 3º A,www.psoria-hue.com.ar,-58.4122879999999,-34.5889007,valid_argentina_bounds
10064412306631,HOSPITAL PRIVADO DEL SUR SA,6441030015,LA PLATA,6,BUENOS AIRES,441,LA PLATA,30,15,Privado,53,ESCL,Internación Domiciliaria,1900,Calle 80 527,NA,-57.9180734999999,-34.9356406,valid_argentina_bounds
